Rank,Meet_Year,LEAGUE_NAME,Meet_Name,Game_id,Game_Date,HomeTeam,AwayTeam,Field_Name,Audience_Qty,Audience_Away_Qty,Day
209,2023,K리그1,하나원큐 K리그1 2023,47,2023/04/23,광주,강원,광주 전용,3562,102,주말
210,2023,K리그1,하나원큐 K리그1 2023,94,2023/06/03,광주,포항,광주 전용,3512,364,주말
211,2023,K리그1,하나원큐 K리그1 2023,82,2023/05/21,강원,포항,춘천 송암,3495,312,주말
212,2023,K리그1,하나원큐 K리그1 2023,128,2023/07/11,제주,광주,제주 월드컵,3280,108, 
213,2023,K리그1,하나원큐 K리그1 2023,163,2023/08/25,수원FC,인천,수원 종합,3236,695, 
214,2023,K리그1,하나원큐 K리그1 2023,78,2023/05/14,수원FC,제주,수원 종합,3213,177,주말
215,2023,K리그1,하나원큐 K리그1 2023,114,2023/06/25,수원FC,강원,수원 종합,3173,265,주말
216,2023,K리그1,하나원큐 K리그1 2023,40,2023/04/16,강원,인천,춘천 송암,3162,447,주말
217,2023,K리그1,하나원큐 K리그1 2023,49,2023/04/25,포항,수원,포항 스틸야드,3080,177, 
218,2023,K리그1,하나원큐 K리그1 2023,135,2023/07/15,광주,대구,광주 전용,2851,710,주말
219,2023,K리그1,하나원큐 K리그1 2023,102,2023/06/07,강원,대전,춘천 송암,2840,152, 
220,2023,K리그1,하나원큐 K리그1 2023,20,2023/03/18,광주,인천,광주 전용,2812,417,주말
221,2023,K리그1,하나원큐 K리그1 2023,65,2023/05/06,수원FC,강원,수원 종합,2749,373,주말
222,2023,K리그1,하나원큐 K리그1 2023,224,2023/12/02,수원FC,제주,수원 종합,2602,206,주말
223,2023,K리그1,하나원큐 K리그1 2023,35,2023/04/09,강원,제주,춘천 송암,2581,53,주말
224,2023,K리그1,하나원큐 K리그1 2023,52,2023/04/26,광주,제주,광주 전용,2143,54, 
225,2023,K리그1,하나원큐 K리그1 2023,141,2023/07/22,수원FC,광주,수원 종합,2083,209,주말
226,2023,K리그1,하나원큐 K리그1 2023,100,2023/06/07,광주,수원,광주 전용,1871,307, 
227,2023,K리그1,하나원큐 K리그1 2023,54,2023/04/26,수원FC,대구,수원 종합,1870,221, 
228,2023,K리그1,하나원큐 K리그1 2023,88,2023/05/28,수원FC,광주,수원 종합,1605,125,주말
