Rank,Meet_Year,LEAGUE_NAME,Meet_Name,Game_id,Game_Date,HomeTeam,AwayTeam,Field_Name,Audience_Qty,Audience_Away_Qty,Day
1,2024,K리그2,하나은행 K리그2 2024,227,2024/11/03,수원,안산,용인 미르,15308,330,주말
2,2024,K리그2,하나은행 K리그2 2024,135,2024/07/20,수원,충북청주,수원 월드컵,14866,583,주말
3,2024,K리그2,하나은행 K리그2 2024,5,2024/03/03,수원,충남아산,수원 월드컵,14196,598,주말
4,2024,K리그2,하나은행 K리그2 2024,231,2024/11/09,안양,경남,안양 종합,13451,147,주말
5,2024,K리그2,하나은행 K리그2 2024,45,2024/04/21,안양,수원,안양 종합,12323,2925,주말
6,2024,K리그2,하나은행 K리그2 2024,24,2024/03/31,수원,부산,수원 월드컵,11707,731,주말
7,2024,K리그2,하나은행 K리그2 2024,104,2024/06/22,수원,성남,수원 월드컵,11684,542,주말
8,2024,K리그2,하나은행 K리그2 2024,74,2024/05/18,수원,부천,수원 월드컵,11592,572,주말
9,2024,K리그2,하나은행 K리그2 2024,117,2024/06/30,수원,안산,수원 월드컵,11286,226,주말
10,2024,K리그2,하나은행 K리그2 2024,52,2024/04/28,수원,경남,수원 월드컵,11109,232,주말
11,2024,K리그2,하나은행 K리그2 2024,85,2024/05/25,수원,서울E,수원 월드컵,11045,392,주말
12,2024,K리그2,하나은행 K리그2 2024,30,2024/04/07,충북청주,수원,청주 종합,10635,2200,주말
13,2024,K리그2,하나은행 K리그2 2024,204,2024/10/06,수원,안양,용인 미르,10632,1239,주말
14,2024,K리그2,하나은행 K리그2 2024,129,2024/07/13,천안,수원,천안 종합,10432,5329,주말
15,2024,K리그2,하나은행 K리그2 2024,169,2024/08/31,충북청주,수원,청주 종합,10215,3000,주말
16,2024,K리그2,하나은행 K리그2 2024,9,2024/03/09,충남아산,부천,아산 이순신,10022,164,주말
17,2024,K리그2,하나은행 K리그2 2024,176,2024/09/14,수원,천안,용인 미르,9820,154,주말
18,2024,K리그2,하나은행 K리그2 2024,167,2024/08/25,서울E,수원,목동 종합,9527,3642,주말
19,2024,K리그2,하나은행 K리그2 2024,160,2024/08/18,수원,전남,용인 미르,9263,260,주말
