Rank,Meet_Year,LEAGUE_NAME,Meet_Name,Game_id,Game_Date,HomeTeam,AwayTeam,Field_Name,Audience_Qty,Audience_Away_Qty,Day
1,2023,K리그2,하나원큐 K리그2 2023,221,2023/10/29,부산,부천,부산 아시아드,13340,100,주말
2,2023,K리그2,하나원큐 K리그2 2023,193,2023/09/23,성남,충북청주,탄천 종합,7789,159,주말
3,2023,K리그2,하나원큐 K리그2 2023,225,2023/11/11,경남,김천,창원 축구센터,7547,142,주말
4,2023,K리그2,하나원큐 K리그2 2023,197,2023/09/24,서울E,안산,목동 종합,7266,53,주말
5,2023,K리그2,하나원큐 K리그2 2023,8,2023/03/04,충북청주,김천,청주 종합,7035,184,주말
6,2023,K리그2,하나원큐 K리그2 2023,148,2023/08/06,서울E,경남,목동 종합,6471,103,주말
7,2023,K리그2,하나원큐 K리그2 2023,22,2023/03/19,부산,김천,부산 아시아드,6359,147,주말
8,2023,K리그2,하나원큐 K리그2 2023,110,2023/07/01,부천,김천,부천 종합,6103,559,주말
9,2023,K리그2,하나원큐 K리그2 2023,11,2023/03/05,안양,서울E,안양 종합,6003,190,주말
10,2023,K리그2,하나원큐 K리그2 2023,234,2023/11/26,부산,충북청주,부산 아시아드,5764,133,주말
11,2023,K리그2,하나원큐 K리그2 2023,223,2023/11/11,서울E,성남,목동 종합,5689,137,주말
12,2023,K리그2,하나원큐 K리그2 2023,181,2023/09/16,서울E,천안,목동 종합,5647,82,주말
13,2023,K리그2,하나원큐 K리그2 2023,204,2023/10/01,경남,부산,창원 축구센터,5437,470,주말
14,2023,K리그2,하나원큐 K리그2 2023,202,2023/10/01,충북청주,부천,청주 종합,4930,190,주말
15,2023,K리그2,하나원큐 K리그2 2023,3,2023/03/01,전남,안양,광양 전용,4890,75, 
16,2023,K리그2,하나원큐 K리그2 2023,184,2023/09/17,경남,전남,창원 축구센터,4808,90,주말
17,2023,K리그2,하나원큐 K리그2 2023,5,2023/03/01,충남아산,김천,아산 이순신,4422,191, 
18,2023,K리그2,하나원큐 K리그2 2023,218,2023/10/28,충남아산,천안,아산 이순신,4354,242,주말
19,2023,K리그2,하나원큐 K리그2 2023,39,2023/04/15,충남아산,서울E,아산 이순신,4293,46,주말
20,2023,K리그2,하나원큐 K리그2 2023,6,2023/03/01,서울E,충북청주,목동 종합,4247,0, 
21,2023,K리그2,하나원큐 K리그2 2023,209,2023/10/07,서울E,경남,목동 종합,4222,110,주말
22,2023,K리그2,하나원큐 K리그2 2023,9,2023/03/04,안산,충남아산,안산 와스타디움,4173,62,주말
23,2023,K리그2,하나원큐 K리그2 2023,98,2023/06/10,경남,충남아산,창원 축구센터,4159,24,주말
