Rank,Meet_Year,LEAGUE_NAME,Meet_Name,Game_id,Game_Date,HomeTeam,AwayTeam,Field_Name,Audience_Qty,Audience_Away_Qty,Day
218,2025,K리그2,하나은행 K리그2 2025,208,2025/09/21,안산,충북청주,안산 와스타디움,1933,127,주말
219,2025,K리그2,하나은행 K리그2 2025,249,2025/10/25,부산,김포,부산 구덕,1932,75,주말
220,2025,K리그2,하나은행 K리그2 2025,196,2025/09/07,화성,충남아산,화성 종합,1916,169,주말
221,2025,K리그2,하나은행 K리그2 2025,241,2025/10/19,충남아산,김포,아산 이순신,1912,168,주말
222,2025,K리그2,하나은행 K리그2 2025,51,2025/04/19,서울E,충북청주,목동 종합,1888,81,주말
223,2025,K리그2,하나은행 K리그2 2025,192,2025/09/06,충북청주,경남,청주 종합,1875,52,주말
224,2025,K리그2,하나은행 K리그2 2025,68,2025/05/04,안산,경남,안산 와스타디움,1864,85,주말
225,2025,K리그2,하나은행 K리그2 2025,94,2025/05/31,충북청주,경남,청주 종합,1863,73,주말
226,2025,K리그2,하나은행 K리그2 2025,122,2025/06/28,안산,천안,안산 와스타디움,1854,184,주말
227,2025,K리그2,하나은행 K리그2 2025,209,2025/09/21,천안,화성,천안 종합,1851,143,주말
228,2025,K리그2,하나은행 K리그2 2025,133,2025/07/06,김포,부산,김포솔터축구장,1821,191,주말
229,2025,K리그2,하나은행 K리그2 2025,26,2025/03/16,부산,천안,부산 구덕,1812,80,주말
230,2025,K리그2,하나은행 K리그2 2025,248,2025/10/25,천안,안산,천안 종합,1811,92,주말
231,2025,K리그2,하나은행 K리그2 2025,108,2025/06/14,충북청주,성남,청주 종합,1806,168,주말
232,2025,K리그2,하나은행 K리그2 2025,120,2025/06/28,충남아산,서울E,아산 이순신,1784,115,주말
233,2025,K리그2,하나은행 K리그2 2025,29,2025/03/29,안산,화성,안산 와스타디움,1768,123,주말
233,2025,K리그2,하나은행 K리그2 2025,213,2025/09/27,충북청주,천안,청주 종합,1768,135,주말
235,2025,K리그2,하나은행 K리그2 2025,111,2025/06/15,김포,경남,김포솔터축구장,1762,58,주말
236,2025,K리그2,하나은행 K리그2 2025,233,2025/10/11,화성,충북청주,화성 종합,1761,162,주말
237,2025,K리그2,하나은행 K리그2 2025,197,2025/09/13,충남아산,부천,아산 이순신,1751,251,주말
238,2025,K리그2,하나은행 K리그2 2025,140,2025/07/13,안산,서울E,안산 와스타디움,1743,143,주말
239,2025,K리그2,하나은행 K리그2 2025,23,2025/03/15,화성,충북청주,화성 종합,1735,210,주말
240,2025,K리그2,하나은행 K리그2 2025,70,2025/05/04,화성,천안,화성 종합,1712,161,주말
241,2025,K리그2,하나은행 K리그2 2025,238,2025/10/12,충남아산,경남,아산 이순신,1705,48,주말
242,2025,K리그2,하나은행 K리그2 2025,243,2025/10/19,충북청주,전남,청주 종합,1687,161,주말
243,2025,K리그2,하나은행 K리그2 2025,193,2025/09/06,성남,안산,탄천 종합,1671,91,주말
244,2025,K리그2,하나은행 K리그2 2025,129,2025/07/05,충북청주,서울E,청주 종합,1659,127,주말
245,2025,K리그2,하나은행 K리그2 2025,181,2025/08/24,충남아산,부산,아산 이순신,1621,40,주말
246,2025,K리그2,하나은행 K리그2 2025,231,2025/10/08,안산,충남아산,안산 와스타디움,1610,218, 
247,2025,K리그2,하나은행 K리그2 2025,149,2025/07/26,천안,경남,천안 종합,1598,74,주말
247,2025,K리그2,하나은행 K리그2 2025,170,2025/08/15,안산,충남아산,안산 와스타디움,1598,218, 
249,2025,K리그2,하나은행 K리그2 2025,154,2025/07/27,성남,전남,탄천 종합,1587,152,주말
250,2025,K리그2,하나은행 K리그2 2025,125,2025/06/29,충북청주,전남,청주 종합,1550,101,주말
251,2025,K리그2,하나은행 K리그2 2025,86,2025/05/24,충북청주,안산,청주 종합,1539,60,주말
251,2025,K리그2,하나은행 K리그2 2025,151,2025/07/26,충남아산,화성,아산 이순신,1539,115,주말
253,2025,K리그2,하나은행 K리그2 2025,158,2025/08/02,화성,김포,화성 종합,1522,196,주말
254,2025,K리그2,하나은행 K리그2 2025,123,2025/06/28,화성,성남,화성 종합,1519,267,주말
255,2025,K리그2,하나은행 K리그2 2025,173,2025/08/16,충북청주,화성,청주 종합,1517,117,주말
256,2025,K리그2,하나은행 K리그2 2025,43,2025/04/12,김포,충남아산,김포솔터축구장,1494,95,주말
257,2025,K리그2,하나은행 K리그2 2025,18,2025/03/08,안산,전남,안산 와스타디움,1447,150,주말
258,2025,K리그2,하나은행 K리그2 2025,10,2025/03/01,안산,김포,안산 와스타디움,1444,259,주말
259,2025,K리그2,하나은행 K리그2 2025,203,2025/09/14,안산,부산,안산 와스타디움,1430,152,주말
260,2025,K리그2,하나은행 K리그2 2025,16,2025/03/08,화성,경남,화성 종합,1425,98,주말
261,2025,K리그2,하나은행 K리그2 2025,58,2025/04/26,천안,충북청주,천안 종합,1411,250,주말
262,2025,K리그2,하나은행 K리그2 2025,159,2025/08/02,안산,충북청주,안산 와스타디움,1403,144,주말
263,2025,K리그2,하나은행 K리그2 2025,144,2025/07/19,화성,부산,화성 종합,1293,154,주말
264,2025,K리그2,하나은행 K리그2 2025,34,2025/03/30,천안,김포,천안 종합,1283,175,주말
265,2025,K리그2,하나은행 K리그2 2025,110,2025/06/15,화성,안산,화성 종합,1259,217,주말
266,2025,K리그2,하나은행 K리그2 2025,226,2025/10/07,충북청주,김포,청주 종합,1255,164, 
267,2025,K리그2,하나은행 K리그2 2025,162,2025/08/09,충남아산,경남,아산 이순신,1211,49,주말
268,2025,K리그2,하나은행 K리그2 2025,221,2025/10/04,충남아산,충북청주,아산 이순신,1206,172,주말
269,2025,K리그2,하나은행 K리그2 2025,13,2025/03/02,천안,부천,천안 종합,1198,294,주말
270,2025,K리그2,하나은행 K리그2 2025,150,2025/07/26,충북청주,김포,청주 종합,1196,133,주말
271,2025,K리그2,하나은행 K리그2 2025,250,2025/10/25,충북청주,부천,청주 종합,1113,225,주말
272,2025,K리그2,하나은행 K리그2 2025,44,2025/04/12,화성,전남,화성 종합,1036,91,주말
273,2025,K리그2,하나은행 K리그2 2025,49,2025/04/13,천안,안산,천안 종합,1021,64,주말
