Rank,Meet_Year,LEAGUE_NAME,Meet_Name,Game_id,Game_Date,HomeTeam,AwayTeam,Field_Name,Audience_Qty,Audience_Away_Qty,Day
1,2025,K리그1,하나은행 K리그1 2025,65,2025-05-03,서울,전북,서울 월드컵,48008,7546,주말
2,2025,K리그1,하나은행 K리그1 2025,8,2025-02-22,서울,안양,서울 월드컵,41415,5304,주말
3,2025,K리그1,하나은행 K리그1 2025,98,2025-05-31,전북,울산,전주 월드컵,31830,3488,주말
4,2025,K리그1,하나은행 K리그1 2025,184,2025-09-27,서울,전북,서울 월드컵,31348,6586,주말
5,2025,K리그1,하나은행 K리그1 2025,13,2025-03-01,울산,전북,울산 문수,26317,3294,주말
6,2025,K리그1,하나은행 K리그1 2025,87,2025-05-24,서울,수원FC,서울 월드컵,25578,765,주말
7,2025,K리그1,하나은행 K리그1 2025,31,2025-03-29,서울,대구,서울 월드컵,25258,2196,주말
8,2025,K리그1,하나은행 K리그1 2025,18,2025-03-03,서울,김천,서울 월드컵,24889,336, 
9,2025,K리그1,하나은행 K리그1 2025,69,2025-05-06,전북,대전,전주 월드컵,24338,2613, 
10,2025,K리그1,하나은행 K리그1 2025,97,2025-05-31,서울,제주,서울 월드컵,24270,683,주말
11,2025,K리그1,하나은행 K리그1 2025,132,2025-07-20,서울,울산,서울 월드컵,24047,2680,주말
12,2025,K리그1,하나은행 K리그1 2025,194,2025-10-18,서울,포항,서울 월드컵,23672,2187,주말
13,2025,K리그1,하나은행 K리그1 2025,153,2025-08-16,전북,대구,전주 월드컵,23460,1254,주말
14,2025,K리그1,하나은행 K리그1 2025,68,2025-05-05,울산,포항,울산 문수,23442,3376, 
15,2025,K리그1,하나은행 K리그1 2025,163,2025-08-30,울산,전북,울산 문수,23294,3562,주말
16,2025,K리그1,하나은행 K리그1 2025,214,2025-11-08,전북,대전,전주 월드컵,23160,1681,주말
17,2025,K리그1,하나은행 K리그1 2025,117,2025-06-21,전북,서울,전주 월드컵,22862,2109,주말
18,2025,K리그1,하나은행 K리그1 2025,171,2025-09-13,전북,대전,전주 월드컵,22588,2136,주말
19,2025,K리그1,하나은행 K리그1 2025,196,2025-10-18,전북,수원FC,전주 월드컵,21899,517,주말
20,2025,K리그1,하나은행 K리그1 2025,226,2025-11-30,전북,서울,전주 월드컵,21742,1063,주말
21,2025,K리그1,하나은행 K리그1 2025,146,2025-08-08,전북,안양,전주 월드컵,21346,701, 
22,2025,K리그1,하나은행 K리그1 2025,176,2025-09-20,대전,대구,대전 월드컵,21045,2546,주말
23,2025,K리그1,하나은행 K리그1 2025,79,2025-05-17,전북,안양,전주 월드컵,21021,858,주말
24,2025,K리그1,하나은행 K리그1 2025,160,2025-08-24,서울,울산,서울 월드컵,20737,3715,주말
25,2025,K리그1,하나은행 K리그1 2025,37,2025-04-05,울산,서울,울산 문수,20358,1501,주말
26,2025,K리그1,하나은행 K리그1 2025,44,2025-04-12,서울,대전,서울 월드컵,20284,2200,주말
27,2025,K리그1,하나은행 K리그1 2025,126,2025-06-29,서울,포항,서울 월드컵,20036,2078,주말
28,2025,K리그1,하나은행 K리그1 2025,166,2025-08-31,서울,안양,서울 월드컵,20027,3604,주말
29,2025,K리그1,하나은행 K리그1 2025,10,2025-02-23,대전,울산,대전 월드컵,19628,2886,주말
30,2025,K리그1,하나은행 K리그1 2025,5,2025-02-16,전북,김천,전주 월드컵,19619,362,주말
