Year,League,Country,Country_Rank,Team,Player,Pay
2017,J리그1,외국인,1,神戸,레안드로,14.4
2017,J리그1,외국인,2,Ｃ大阪,김진현,9.0
2017,J리그1,외국인,3,清水,정대세,9.0
2017,J리그1,외국인,4,神戸,닐톤,7.6
2017,J리그1,외국인,5,鹿島,페드로 주니오르,7.2
2016,J리그1,내국인,1,Ｇ大阪,엔도 야스히토,14.4
2016,J리그1,내국인,2,横浜FM,나카무라 슌스케,11.7
2016,J리그1,내국인,3,横浜FM,나카자와 유지,11.2
2016,J리그1,내국인,4,川崎Ｆ,나카무라 켄고,9.0
2016,J리그1,내국인,5,川崎Ｆ,오쿠보 요시토,9.0
2016,J리그1,외국인,1,神戸,레안드로,10.8
2016,J리그1,외국인,2,柏,에데르손,9.0
2016,J리그1,외국인,3,広島,피터 우타카,9.0
2016,J리그1,외국인,4,浦和,즐라탄,7.2
2016,J리그1,외국인,5,Ｇ大阪,패트릭,7.2
2015,J리그1,내국인,1,Ｇ大阪,엔도 야스히토,16.2
2015,J리그1,내국인,2,名古屋,다나카 툴리오,13.5
2015,J리그1,내국인,3,横浜FM,나카무라 슌스케,11.7
2015,J리그1,내국인,4,横浜FM,나카자와 유지,10.8
2015,J리그1,내국인,5,川崎Ｆ,나카무라 켄고,9.0
2015,J리그1,외국인,1,柏,레안드로,7.2
2015,J리그1,외국인,2,Ｇ大阪,패트릭,7.2
2015,J리그1,외국인,3,横浜FM,아데밀손,7.2
2015,J리그1,외국인,4,鳥栖,페르난지뉴,6.3
2015,J리그1,외국인,5,Ｃ大阪,김진현,6.3
