season,game_id,date,day,stadium,home_team,home_score,away_team,away_score,home_shoot_total,home_shoot_ontarget,away_shoot_total,away_shoot_ontarget,home_corner,away_corner,home_offside,away_offside,home_possession,away_possession,home_foul,away_foul,home_yellow,away_yellow,home_red,away_red
2025,401583,2025-05-03 14:00:00,토,도스 스타디움,사간도스,1,제프지바,1,14,2,15,3,0,9,0,1,54,46,14,9,2,2,0,0
2025,401584,2025-05-03 13:00:00,토,유르테크 센다이,베갈타센다이,3,R야마구치,1,11,4,11,2,5,2,5,1,54,46,12,9,1,2,0,0
2025,401585,2025-05-03 16:00:00,토,트랜스코스모스 스타디움,V나가사키,1,에히메,1,27,4,5,2,8,4,2,2,58,42,7,10,0,0,0,0
2025,401586,2025-05-06 15:00:00,화,소유 스타디움,B아키타,0,반포레고후,1,4,1,16,7,3,8,2,1,40,60,8,11,1,1,0,0
2025,401587,2025-05-06 16:00:00,화,후쿠다 덴시,제프지바,1,오미야,2,8,6,9,3,7,5,2,0,62,38,12,16,2,2,1,0
2025,401588,2025-05-06 15:00:00,화,닌지니어,에히메,1,이와키FC,1,7,1,4,2,1,7,3,1,51,49,6,14,1,2,0,0
2025,401589,2025-05-06 14:00:00,화,삿포로 돔,삿포로,2,주빌로이와타,4,15,7,20,7,3,2,4,1,56,44,17,12,2,3,0,0
2025,401590,2025-05-06 15:00:00,화,에가오 겐코 스타디움,롯소구마모토,0,이마바리FC,1,9,4,15,5,10,7,4,0,56,44,11,15,1,2,0,0
2025,401591,2025-05-06 14:00:00,화,ND 소프트 야마가타,야마가타,3,오이타,0,9,4,15,5,4,5,0,0,55,45,9,8,0,2,0,0
2025,401592,2025-05-06 14:00:00,화,이신 미 라이프,R야마구치,1,미토홀리호크,2,18,6,2,2,9,0,3,0,53,47,5,15,0,2,0,0
2025,401593,2025-05-06 15:50:00,화,포카리 스웨트,도쿠시마,0,사간도스,1,18,4,14,4,8,4,3,0,55,45,12,10,3,0,0,0
2025,401594,2025-05-06 13:55:00,화,도야마 레크레이션 파크,카탈레도야마,1,V나가사키,2,12,4,10,6,3,4,0,1,40,60,13,11,0,3,0,0
2025,401595,2025-05-06 13:00:00,화,유르테크 센다이,베갈타센다이,2,후지에다,1,10,8,14,5,4,3,1,1,39,61,11,10,1,0,0,0
2025,401596,2025-05-11 14:00:00,일,스코어 영역,이마바리FC,0,제프지바,1,19,2,9,3,5,6,0,1,46,54,15,12,0,0,0,0
2025,401597,2025-05-11 13:00:00,일,하와이언즈 스타디움 이와키,이와키FC,1,삿포로,1,8,3,10,4,4,3,2,3,46,54,11,13,0,1,0,0
2025,401598,2025-05-11 13:00:00,일,야마하,주빌로이와타,1,후지에다,0,15,3,12,4,5,6,2,2,55,45,7,22,2,3,0,0
2025,401599,2025-05-11 15:00:00,일,에가오 겐코 스타디움,롯소구마모토,2,에히메,2,17,6,9,4,10,4,0,0,60,40,9,14,0,2,0,0
2025,401600,2025-05-11 14:00:00,일,K's 덴키 미토,미토홀리호크,2,B아키타,1,30,10,4,2,10,3,1,1,63,37,5,13,0,1,0,0
2025,401601,2025-05-10 14:00:00,토,NACK5 오미야,오미야,3,베갈타센다이,0,14,5,12,0,9,6,1,0,42,58,12,9,3,1,0,0
2025,401602,2025-05-11 14:00:00,일,도스 스타디움,사간도스,0,반포레고후,0,4,1,7,2,7,2,3,2,65,35,8,11,0,1,0,0
2025,401603,2025-05-11 14:00:00,일,포카리 스웨트,도쿠시마,2,R야마구치,0,12,5,12,1,1,6,1,2,56,44,15,8,4,3,0,0
2025,401604,2025-05-11 14:05:00,일,도야마 레크레이션 파크,카탈레도야마,1,오이타,1,10,3,17,4,3,6,1,2,44,56,8,14,0,1,0,0
2025,401605,2025-05-11 14:00:00,일,트랜스코스모스 스타디움,V나가사키,1,야마가타,1,18,2,13,4,6,5,0,1,56,44,6,11,0,2,1,0
2025,401606,2025-05-17 14:00:00,토,소유 스타디움,B아키타,1,사간도스,2,8,3,14,8,4,4,3,3,44,56,10,7,1,0,0,0
2025,401607,2025-05-17 14:00:00,토,후쿠다 덴시,제프지바,0,베갈타센다이,0,9,1,16,5,5,6,4,0,55,45,16,15,2,1,0,0
2025,401608,2025-05-18 18:00:00,일,닌지니어,에히메,0,도쿠시마,2,11,4,17,7,4,1,2,0,48,52,8,15,0,1,0,0
2025,401609,2025-05-17 14:00:00,토,후지에다 종합운동장,후지에다,0,오미야,1,6,1,15,3,6,7,1,2,55,45,18,13,5,0,1,0
2025,401610,2025-05-17 14:00:00,토,삿포로 돔,삿포로,2,카탈레도야마,1,20,9,14,2,5,4,0,0,60,40,8,12,3,2,0,0
2025,401611,2025-05-17 14:00:00,토,야마하,주빌로이와타,2,이와키FC,0,8,3,11,3,6,5,1,4,57,43,10,23,0,1,0,0
2025,401612,2025-05-17 13:30:00,토,지트 재활용 잉크 스타디움,반포레고후,1,이마바리FC,0,14,4,11,3,5,3,2,1,47,53,11,12,3,3,0,1
2025,401613,2025-05-17 14:00:00,토,K's 덴키 미토,미토홀리호크,2,롯소구마모토,1,12,3,6,4,4,3,2,1,53,47,10,7,0,1,0,0
2025,401614,2025-05-18 14:00:00,일,쇼와 덴코 돔 오이타,오이타,1,V나가사키,2,9,4,16,3,5,6,0,0,42,58,19,12,2,3,0,0
2025,401615,2025-05-18 14:00:00,일,이신 미 라이프,R야마구치,1,야마가타,0,11,4,12,2,3,4,2,2,39,61,15,15,1,1,0,0
2025,401616,2025-05-25 13:00:00,일,하와이언즈 스타디움 이와키,이와키FC,1,베갈타센다이,2,14,6,12,3,11,4,4,2,43,57,8,8,0,1,0,0
