Meet_Year,LEAGUE_NAME,Round,Game_id,Game_Datetime,Day,HomeTeam,AwayTeam,HomeRank,AwayRank,Field_Name,Audience_Qty,Weather,Temperature,Humidity
2023,K리그1,1,1,2023-02-25 14:00:00,토,울산,전북,0,0,울산 문수 축구경기장,28039,맑음,7.0,33
2023,K리그1,1,2,2023-02-25 16:30:00,토,서울,인천,0,0,서울 월드컵 경기장,22204,맑음,4.7,25
2023,K리그1,1,3,2023-02-25 16:30:00,토,수원,광주,0,0,수원 월드컵 경기장,10348,맑음,4.9,28
2023,K리그1,1,4,2023-02-26 14:30:00,일,포항,대구,0,0,포항 스틸야드,14089,맑음,10.0,0
2023,K리그1,1,5,2023-02-26 14:00:00,일,제주,수원FC,0,0,제주 월드컵 경기장,8362,맑음,8.0,44
2023,K리그1,1,6,2023-02-26 16:30:00,일,대전,강원,0,0,대전 월드컵 경기장,18590,맑음,8.3,19
2023,K리그1,2,7,2023-03-04 14:00:00,토,인천,대전,9,2,인천 축구 전용경기장,10011,맑음,9.4,62
2023,K리그1,2,8,2023-03-04 14:00:00,토,수원FC,포항,6,1,수원 종합 운동장,7155,맑음,10.0,50
2023,K리그1,2,9,2023-03-04 16:30:00,토,대구,제주,8,6,DGB대구은행파크,10851,흐림,14.0,32
2023,K리그1,2,10,2023-03-05 14:00:00,일,전북,수원,10,11,전주 월드컵 경기장,19660,맑음,15.0,32
2023,K리그1,2,11,2023-03-05 14:00:00,일,강원,울산,12,3,춘천 송암 스포츠타운,6199,맑음,9.4,49
2023,K리그1,2,12,2023-03-05 16:30:00,일,광주,서울,5,3,광주 축구 전용경기장,7357,맑음,16.0,25
2023,K리그1,3,13,2023-03-11 14:00:00,토,수원FC,수원,10,10,수원 종합 운동장,8670,맑음,22.0,20
2023,K리그1,3,14,2023-03-11 14:00:00,토,대전,포항,4,1,대전 월드컵 경기장,8661,맑음,23.7,14
2023,K리그1,3,15,2023-03-11 16:30:00,토,강원,대구,12,8,춘천 송암 스포츠타운,4058,맑음,22.4,20
2023,K리그1,3,16,2023-03-12 14:00:00,일,서울,울산,2,3,서울 월드컵 경기장,20549,비,5.5,94
2023,K리그1,3,17,2023-03-12 16:30:00,일,전북,광주,10,6,전주 월드컵 경기장,8051,비,7.0,82
