Meet_Year,LEAGUE_NAME,Round,Game_Datetime,Day,HomeTeam,AwayTeam,HomeDistance,AwayDistance,HomeSprint,AwaySprint,Audience_Qty,Weather,Temperature,Humidity
2025,J리그1,6,2025-03-15 14:03:00,일,横浜FC,Ｃ大阪,124.783,122.609,125,119,6431,흐림 후 비,11.6,35
2025,J리그1,6,2025-03-15 14:03:00,일,福岡,FC東京,123.625,117.821,145,125,7721,비 후 흐림,11.9,62
2025,J리그1,6,2025-03-16 13:03:00,일,清水,京都,114.481,123.814,180,173,14012,흐림,14.6,44
2025,J리그1,6,2025-03-16 14:03:00,일,鹿島,浦和,117.267,117.461,156,173,31574,비,11.5,90
2025,J리그1,6,2025-03-16 14:03:00,일,横浜FM,Ｇ大阪,121.202,117.055,101,100,23169,비,7.5,88
2025,J리그1,6,2025-03-16 14:03:00,일,岡山,川崎Ｆ,118.316,112.903,146,120,13699,비,10.6,90
2025,J리그1,6,2025-03-16 14:03:00,일,広島,柏,117.354,120.783,123,148,25283,흐림,13.1,40
2025,J리그1,6,2025-03-16 15:03:00,일,湘南,神戸,118.857,119.72,146,139,9537,흐림 후 비,10.2,72
2025,J리그1,7,2025-03-28 19:03:00,일,Ｃ大阪,浦和,127.72,124.071,158,175,18366,흐림,14.4,56
2025,J리그1,7,2025-03-29 13:00:00,일,岡山,横浜FM,117.026,110.344,157,121,14892,맑음,17.3,22
2025,J리그1,7,2025-03-29 13:03:00,일,清水,湘南,113.683,109.454,129,140,17684,흐림,14.4,41
2025,J리그1,7,2025-03-29 14:03:00,일,柏,東京Ｖ,121.02,125.9,154,154,11888,비 후 흐림,6.6,90
2025,J리그1,7,2025-03-29 14:03:00,일,新潟,Ｇ大阪,128.291,122.689,115,110,20497,맑음,10.6,35
2025,J리그1,7,2025-03-29 14:03:00,일,名古屋,横浜FC,119.009,116.6,102,100,32226,흐림,15.5,25
2025,J리그1,7,2025-03-29 14:03:00,일,京都,広島,120.328,112.713,159,163,14393,흐림,13,37
2025,J리그1,7,2025-03-29 15:03:00,일,鹿島,神戸,108.047,108.277,95,105,22601,비 후 흐림,8,90
2025,J리그1,7,2025-03-29 15:04:00,일,福岡,町田,113.545,114.227,106,111,7600,흐림,14,26
2025,J리그1,7,2025-03-29 17:03:00,일,FC東京,川崎Ｆ,118.486,117.592,142,139,33632,흐림,9.4,54
2025,J리그1,8,2025-04-02 19:03:00,일,東京Ｖ,FC東京,116.532,114.196,163,150,26865,흐림,11.8,80
2025,J리그1,8,2025-04-02 19:03:00,일,川崎Ｆ,湘南,116.902,115.643,122,129,21392,흐림,11.9,58
2025,J리그1,8,2025-04-02 19:03:00,일,横浜FC,神戸,119.235,120.939,143,135,8032,흐림,11.5,68
2025,J리그1,8,2025-04-02 19:03:00,일,新潟,福岡,119.49,120.288,97,72,13627,흐림,14.5,63
2025,J리그1,8,2025-04-02 19:04:00,일,名古屋,横浜FM,116.053,112.127,139,121,21892,흐림,16.3,57
2025,J리그1,8,2025-04-02 19:03:00,일,京都,柏,125.076,120.949,153,123,9059,흐림,13.8,60
2025,J리그1,8,2025-04-02 19:03:00,일,Ｇ大阪,町田,114.436,119.665,102,118,23125,맑음,14.3,67
2025,J리그1,8,2025-04-02 19:03:00,일,Ｃ大阪,岡山,126.505,128.973,159,143,17141,흐림,14.4,70
2025,J리그1,8,2025-04-02 19:03:00,일,広島,鹿島,117.012,118.99,135,130,24868,흐림,12.8,53
2025,J리그1,8,2025-04-02 19:33:00,일,浦和,清水,121.998,119.444,127,135,25326,비 후 흐림,11,87
