Meet_Year,LEAGUE_NAME,Round,Game_id,Game_Datetime,Day,HomeTeam,AwayTeam,HomeRank,AwayRank,HomePoints,AwayPoints,Field_Name,Audience_Qty,Weather,Temperature,Humidity,home_possession,home_attempts,home_on_target,home_fouls,home_yellow_cards,home_red_cards,home_double_yellow_cards,home_corners,home_free_kicks,home_offsides,away_possession,away_attempts,away_on_target,away_fouls,away_yellow_cards,away_red_cards,away_double_yellow_cards,away_corners,away_free_kicks,away_offsides,home_first_15_possession,home_first_30_possession,home_first_45_possession,home_second_15_possession,home_second_30_possession,home_second_45_possession,away_first_15_possession,away_first_30_possession,away_first_45_possession,away_second_15_possession,away_second_30_possession,away_second_45_possession
2015,K리그1,3,15,2015-03-21 16:00:00,토,제주,대전,7,12,2,0,제주 월드컵 경기장,5948,맑음,17.0,0,48.0,12.0,7.0,12.0,1.0,0.0,0.0,1.0,14.0,2.0,52.0,14.0,2.0,12.0,2.0,0.0,0.0,5.0,12.0,0.0,64.72,55.56,57.59,45.82,45.19,39.67,35.28,44.44,42.41,54.18,54.81,60.33
2015,K리그1,3,16,2015-03-22 14:00:00,일,포항,서울,6,11,3,0,포항 스틸야드,16674,맑음,0.0,0,49.0,8.0,3.0,14.0,3.0,0.0,0.0,3.0,16.0,2.0,51.0,8.0,5.0,19.0,2.0,0.0,0.0,4.0,19.0,0.0,49.38,48.16,48.44,46.37,49.46,49.42,50.62,51.84,51.56,53.63,50.54,50.58
2015,K리그1,3,17,2015-03-22 14:00:00,일,성남,수원,10,7,1,3,탄천 종합 운동장,8369,맑음,11.0,42,56.0,6.0,2.0,10.0,2.0,0.0,0.0,5.0,12.0,2.0,44.0,10.0,7.0,17.0,2.0,0.0,0.0,9.0,18.0,1.0,56.25,52.57,50.8,64.39,62.25,61.83,43.75,47.43,49.2,35.61,37.75,38.17
2015,K리그1,3,18,2015-03-22 16:00:00,일,인천,전북,9,3,1,6,인천 축구 전용경기장,9039,맑음,0.0,0,39.0,9.0,2.0,12.0,5.0,0.0,1.0,0.0,14.0,2.0,61.0,9.0,3.0,9.0,3.0,0.0,0.0,6.0,14.0,5.0,41.92,40.43,39.97,46.4,42.1,37.79,58.08,59.57,60.03,53.6,57.9,62.21
2015,K리그1,4,19,2015-04-04 14:00:00,토,서울,제주,11,6,0,5,서울 월드컵 경기장,22155,맑음,0.0,0,56.0,10.0,8.0,8.0,1.0,0.0,0.0,8.0,12.0,4.0,44.0,14.0,6.0,15.0,3.0,0.0,0.0,6.0,16.0,1.0,52.93,56.24,55.81,54.28,58.16,56.05,47.07,43.76,44.19,45.72,41.84,43.95
2015,K리그1,4,20,2015-04-04 14:00:00,토,수원,부산,4,7,6,4,수원 월드컵 경기장,10708,흐림,0.0,0,62.0,12.0,9.0,20.0,3.0,0.0,0.0,5.0,23.0,3.0,38.0,6.0,4.0,16.0,4.0,0.0,1.0,2.0,16.0,0.0,51.91,59.03,61.15,67.62,60.77,63.44,48.09,40.97,38.85,32.38,39.23,36.56
2015,K리그1,4,21,2015-04-04 14:00:00,토,전북,포항,3,5,7,6,전주 월드컵 경기장,16638,흐리고 비,0.0,0,50.0,12.0,5.0,9.0,0.0,0.0,0.0,4.0,10.0,1.0,50.0,10.0,5.0,18.0,2.0,0.0,0.0,9.0,21.0,3.0,45.8,51.85,50.34,60.3,56.47,48.8,54.2,48.15,49.66,39.7,43.53,51.2
2015,K리그1,4,22,2015-04-04 16:00:00,토,대전,성남,12,10,0,1,대전 월드컵 경기장,1441,흐리고 비,0.0,0,47.0,10.0,6.0,16.0,3.0,0.0,0.0,1.0,20.0,4.0,53.0,21.0,10.0,12.0,2.0,0.0,0.0,9.0,12.0,0.0,47.47,45.05,48.95,40.07,39.0,45.22,52.53,54.95,51.05,59.93,61.0,54.78
2015,K리그1,4,23,2015-04-05 14:00:00,일,울산,광주,4,3,7,7,울산 문수 축구경기장,4824,흐림,0.0,0,41.0,12.0,6.0,17.0,4.0,0.0,0.0,3.0,21.0,4.0,59.0,22.0,15.0,13.0,1.0,0.0,0.0,6.0,14.0,1.0,51.44,49.41,44.87,43.93,40.02,38.44,48.56,50.59,55.13,56.07,59.98,61.56
2015,K리그1,4,24,2015-04-05 16:00:00,일,전남,인천,10,11,3,2,광양 전용 구장,4336,흐리고 비,11.0,84,56.0,12.0,8.0,9.0,0.0,0.0,0.0,1.0,10.0,1.0,44.0,11.0,0.0,20.0,2.0,0.0,0.0,3.0,20.0,0.0,54.92,52.67,56.16,51.13,48.95,55.8,45.08,47.33,43.84,48.87,51.05,44.2
2015,K리그1,5,25,2015-04-11 14:00:00,토,대전,울산,12,1,0,10,대전 월드컵 경기장,3780,맑음,0.0,0,35.0,13.0,6.0,8.0,0.0,0.0,0.0,2.0,9.0,1.0,65.0,10.0,7.0,15.0,2.0,0.0,0.0,4.0,18.0,3.0,33.18,35.84,37.18,31.52,32.7,33.28,66.82,64.16,62.82,68.48,67.3,66.72
2015,K리그1,5,26,2015-04-11 14:00:00,토,성남,부산,8,9,4,4,탄천 종합 운동장,3135,맑음,0.0,0,54.0,10.0,5.0,14.0,2.0,0.0,0.0,2.0,16.0,2.0,46.0,16.0,6.0,9.0,1.0,0.0,0.0,8.0,10.0,1.0,56.53,51.37,52.49,58.28,58.23,55.38,43.47,48.63,47.51,41.72,41.77,44.62
2015,K리그1,5,27,2015-04-11 16:00:00,토,제주,포항,7,5,5,6,제주 월드컵 경기장,6078,맑음,16.0,0,53.0,11.0,5.0,8.0,1.0,0.0,0.0,5.0,9.0,1.0,47.0,10.0,6.0,12.0,1.0,0.0,0.0,1.0,13.0,1.0,59.62,57.91,55.5,56.05,54.23,50.1,40.38,42.09,44.5,43.95,45.77,49.9
2015,K리그1,5,28,2015-04-12 14:00:00,일,인천,서울,11,10,2,3,인천 축구 전용경기장,9767,흐림,0.0,0,50.0,11.0,7.0,16.0,4.0,0.0,1.0,4.0,17.0,1.0,50.0,6.0,4.0,11.0,1.0,0.0,0.0,3.0,17.0,6.0,45.5,53.67,58.4,39.67,37.72,38.78,54.5,46.33,41.6,60.33,62.28,61.22
2015,K리그1,5,29,2015-04-12 14:00:00,일,전남,수원,8,3,6,9,광양 전용 구장,6486,흐림,16.4,26,46.0,9.0,7.0,15.0,2.0,0.0,0.0,1.0,16.0,1.0,54.0,12.0,6.0,9.0,1.0,0.0,0.0,3.0,12.0,3.0,31.25,37.2,41.85,53.8,55.58,49.63,68.75,62.8,58.15,46.2,44.42,50.37
2015,K리그1,5,30,2015-04-12 16:00:00,일,광주,전북,5,2,7,10,목포 축구센터,3064,흐림,17.6,27,53.0,5.0,4.0,14.0,1.0,0.0,0.0,5.0,16.0,2.0,47.0,12.0,3.0,17.0,3.0,0.0,0.0,5.0,18.0,1.0,43.15,45.09,48.28,54.55,55.05,57.82,56.85,54.91,51.72,45.45,44.95,42.18
2015,K리그1,6,31,2015-04-15 19:00:00,수,부산,전북,9,1,4,13,부산 아시아드 경기장,2038,맑음,16.0,55,44.0,11.0,8.0,15.0,0.0,0.0,0.0,6.0,16.0,1.0,56.0,12.0,4.0,17.0,2.0,0.0,0.0,2.0,17.0,0.0,39.61,42.66,46.13,42.47,41.65,42.35,60.39,57.34,53.87,57.53,58.35,57.65
2015,K리그1,6,32,2015-04-15 19:30:00,수,포항,전남,8,7,6,7,포항 스틸야드,5731,맑음,0.0,0,52.0,14.0,8.0,11.0,1.0,0.0,0.0,4.0,12.0,1.0,48.0,12.0,2.0,9.0,2.0,0.0,0.0,6.0,13.0,4.0,64.1,60.64,56.82,46.32,47.92,48.02,35.9,39.36,43.18,53.68,52.08,51.98
2015,K리그1,6,33,2015-04-15 19:30:00,수,울산,수원,2,3,11,10,울산 문수 축구경기장,3401,맑음,0.0,0,53.0,7.0,4.0,18.0,1.0,0.0,0.0,3.0,18.0,0.0,47.0,5.0,3.0,13.0,2.0,0.0,0.0,0.0,13.0,0.0,61.2,57.79,55.44,43.63,47.12,50.71,38.8,42.21,44.56,56.37,52.88,49.29
2015,K리그1,6,34,2015-04-15 19:30:00,수,성남,인천,6,11,7,3,탄천 종합 운동장,1902,맑음,0.0,0,53.0,9.0,4.0,22.0,2.0,0.0,0.0,9.0,25.0,3.0,47.0,10.0,5.0,13.0,4.0,0.0,0.0,3.0,15.0,2.0,53.3,53.5,50.95,48.67,54.46,54.67,46.7,46.5,49.05,51.33,45.54,45.33
2015,K리그1,6,35,2015-04-15 19:30:00,수,서울,대전,10,12,4,1,서울 월드컵 경기장,7186,흐림,0.0,0,66.0,13.0,8.0,7.0,1.0,0.0,0.0,8.0,7.0,0.0,34.0,7.0,3.0,13.0,2.0,0.0,1.0,0.0,14.0,1.0,73.05,71.4,70.61,75.87,72.46,60.63,26.95,28.6,29.39,24.13,27.54,39.37
2015,K리그1,6,36,2015-04-15 19:30:00,수,제주,광주,4,5,8,7,제주 월드컵 경기장,3013,맑음,12.0,0,45.0,16.0,10.0,14.0,2.0,0.0,0.0,4.0,17.0,3.0,55.0,6.0,4.0,12.0,1.0,0.0,0.0,9.0,14.0,2.0,45.74,53.02,48.95,43.89,42.29,41.91,54.26,46.98,51.05,56.11,57.71,58.09
2015,K리그1,7,37,2015-04-18 15:00:00,토,수원,서울,4,8,11,7,수원 월드컵 경기장,26250,맑음,0.0,0,48.0,12.0,7.0,11.0,1.0,0.0,0.0,4.0,16.0,5.0,52.0,9.0,5.0,10.0,2.0,0.0,0.0,2.0,14.0,4.0,52.85,53.39,53.8,37.67,36.5,40.45,47.15,46.61,46.2,62.33,63.5,59.55
