game_id,datetime,home_team,away_team,stadium,audience,weather,temp,humidity,broadcast
50,2025-04-19 16:30:00,김천,대전,김천 종합 운동장,2789,흐림,28.1,38,"IB SPORTS, KFN, COUPANGPLAY"
51,2025-04-19 16:30:00,안양,수원FC,안양 종합 운동장,4508,비,20.4,72,"skySports, COUPANGPLAY"
52,2025-04-19 19:00:00,서울,광주,서울 월드컵 경기장,19234,흐리고 비,13.2,94,"skySports, COUPANGPLAY"
53,2025-04-20 16:30:00,제주,포항,제주 월드컵 경기장,5531,흐리고 비,21.0,85,"IB SPORTS, COUPANGPLAY"
54,2025-04-20 16:30:00,전북,대구,전주 월드컵 경기장,12897,맑음,21.0,75,"skySports, COUPANGPLAY"
55,2025-04-26 14:00:00,수원FC,전북,수원 종합 운동장,7131,맑음,18.7,36,"skySports, COUPANGPLAY"
56,2025-04-09 19:30:00,광주,대구,광주 월드컵 경기장,1983,흐림,13.5,50,"skySports, COUPANGPLAY"
57,2025-04-26 16:30:00,안양,제주,안양 종합 운동장,5939,맑음,17.3,42,"IB SPORTS, COUPANGPLAY"
58,2025-04-27 14:00:00,포항,서울,포항 스틸야드,10984,맑음,26.0,16,"skySports, COUPANGPLAY"
59,2025-04-27 16:30:00,김천,울산,김천 종합 운동장,3300,맑음,26.2,13,"skySports, KFN, COUPANGPLAY"
60,2025-04-27 16:30:00,대전,강원,대전 월드컵 경기장,9412,맑음,24.0,16,"IB SPORTS, COUPANGPLAY"
61,2025-05-02 19:30:00,울산,광주,울산 문수 축구경기장,9659,맑음,20.0,40,"skySports, COUPANGPLAY"
62,2025-05-02 19:30:00,포항,김천,포항 스틸야드,7405,흐림,13.0,57,"JTBC G&S, KFN, COUPANGPLAY"
63,2025-05-03 16:30:00,대전,안양,대전 월드컵 경기장,12570,흐림,13.2,75,"JTBC G&S, COUPANGPLAY"
64,2025-05-03 16:30:00,대구,제주,대구iM뱅크PARK,11325,흐림,10.7,92,"IB SPORTS, COUPANGPLAY"
65,2025-05-03 19:00:00,서울,전북,서울 월드컵 경기장,48008,맑음,12.0,85,"skySports, COUPANGPLAY"
