game_id,datetime,home_team,away_team,stadium,audience,weather,temp,humidity,broadcast
1,2024-03-01 14:00:00,울산,포항,울산 문수 축구경기장,28683,맑음,3.0,10,"JTBC G&S, 쿠팡플레이"
2,2024-03-01 16:30:00,전북,대전,전주 월드컵 경기장,24758,맑음,1.0,44,"skySports, 쿠팡플레이"
3,2024-03-02 14:00:00,광주,서울,광주 축구 전용경기장,7805,맑음,5.0,35,"skySports, 쿠팡플레이"
4,2024-03-02 16:30:00,인천,수원FC,인천 축구 전용경기장,15060,흐림,3.3,55,"JTBC G&S, 쿠팡플레이"
5,2024-03-02 16:30:00,강원,제주,춘천 송암 스포츠타운,6021,흐림,1.4,47,"skySports, 쿠팡플레이"
6,2024-03-03 14:00:00,대구,김천,DGB대구은행파크,12133,맑음,9.5,44,"IB SPORTS, 쿠팡플레이"
7,2024-03-09 14:00:00,수원FC,전북,수원 종합 운동장,9557,맑음,4.9,32,"SBS, JTBC G&S, 쿠팡플레이"
8,2024-03-09 16:30:00,포항,대구,포항 스틸야드,10930,맑음,7.0,40,"JTBC G&S, 쿠팡플레이"
9,2024-03-09 16:30:00,김천,울산,김천 종합 운동장,5852,맑음,10.4,19,"skySports, 쿠팡플레이"
10,2024-03-10 14:00:00,제주,대전,제주 월드컵 경기장,9083,맑음,13.5,41,"skySports, 쿠팡플레이"
11,2024-03-10 16:30:00,광주,강원,광주 축구 전용경기장,5786,맑음,13.0,27,"IB SPORTS, 쿠팡플레이"
12,2024-03-10 16:00:00,서울,인천,서울 월드컵 경기장,51670,맑음,10.4,22,"MBC, skySports, 쿠팡플레이"
13,2024-03-16 14:00:00,대전,강원,대전 월드컵 경기장,17191,맑음,16.6,32,"skySports, 쿠팡플레이"
14,2024-03-16 16:30:00,대구,수원FC,DGB대구은행파크,11997,맑음,19.1,26,"IB SPORTS, 쿠팡플레이"
15,2024-03-16 16:30:00,서울,제주,서울 월드컵 경기장,29536,맑음,16.6,29,"skySports, 쿠팡플레이"
16,2024-03-17 14:00:00,포항,광주,포항 스틸야드,9203,맑음,17.0,42,"JTBC G&S, 쿠팡플레이"
17,2024-03-17 14:00:00,김천,전북,김천 종합 운동장,4300,맑음,18.2,39,"skySports, 쿠팡플레이"
18,2024-03-17 16:30:00,울산,인천,울산 문수 축구경기장,15233,흐림,19.2,23,"쿠팡플레이, JTBC"
19,2024-03-30 14:00:00,전북,울산,전주 월드컵 경기장,25782,흐림,15.0,52,"skySports, 쿠팡플레이"
20,2024-03-30 14:00:00,인천,대전,인천 축구 전용경기장,11581,흐림,11.2,49,"JTBC G&S, 쿠팡플레이"
21,2024-03-30 16:30:00,제주,포항,제주 월드컵 경기장,6036,맑음,20.0,57,"skySports, 쿠팡플레이"
22,2024-03-30 16:30:00,수원FC,김천,수원 종합 운동장,6145,맑음,17.2,32,"IB SPORTS, 쿠팡플레이"
